date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:21	294072/294072	---M--	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-ExtraBold.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-ExtraBold.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:25	288088/288088	---M--	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Light.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Light.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:26	292140/292140	---M--	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Medium.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Medium.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:27	28920/28920	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Regular.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Regular.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:27	293028/293028	---M--	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-SemiBold.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-SemiBold.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:27	288568/288568	---M--	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Thin.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Thin.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:28	24460/24460	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Ultra_Light.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Ultra_Light.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:29	29028/29028	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Light.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Light.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:29	29668/29668	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Medium.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Medium.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:30	294396/294396	---M--	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Black.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Inter-Black.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
